ID,artist,title,genre
a396,Adele,Rolling in the Deep,jazz
a397,Adele,Someone Like You,jazz
a398,Adele,Set Fire to the Rain,jazz
a399,Van Morrison,Have I Told You Lately,jazz
a400,Van Morrison-Cliff Richard,Whenever God Shines His Light,jazz
a401,Van Morrison,In the Days Before Rock 'n' Roll,jazz
a402,Van Morrison,Real Real Gone,jazz
a403,Van Morrison,I Can't Stop Loving You,jazz
a404,Roberta Flack,Don't Make Me Wait Too Long,jazz
a405,Roberta Flack,Killing Me Softly With His Song,jazz
a420,A'mari,Amor Fabula,jazz
a421,A'mari,Evanescence (Goddess),jazz
a425,David Crosby-Phil Collins,Hero,jazz
a426,Phil Collins,Both Sides of the Story,jazz
a427,Phil Collins,Everyday,jazz
a428,Phil Collins,Everyday,jazz
a429,Phil Collins,We Wait and We Wonder,jazz
a430,Phil Collins,Dance Into the Light,jazz
a431,Mark Knopfler,Storybook Love (Theme From The Princess Bride),folk
a432,Glen Hansard-Mark Geary,Christmas Biscuits (In Aid of St. Vincent De Paul),folk
a433,Marissa Nadler,Diamond Heart / Leather Made Shoes,folk
a434,Marissa Nadler-Father John Misty,Hollywood Forever Cemetery Sings / Drive,folk
a437,Malcolm Middleton,Loneliness Shines / No Modest Bear,folk
a442,Ladysmith Black Mambazo,Ain't No Sunshine,folk
a443,B*Witched-Ladysmith Black Mambazo,I Shall Be There,folk
a450,Kris Kristofferson,Here Comes That Rainbow Again,folk
a458,Tori Amos,Talula,jazz
a459,Tori Amos,Hey Jupiter / Professional Widow,jazz
a460,Tori Amos,Professional Widow,jazz
a461,BT-Tori Amos,Blue Skies,jazz
a462,Tori Amos,Silent All These Years,jazz
a463,The Mekons-The Ex,Crap Rap / Keep On Hoppin',alternative
a464,The Mekons,Wicked Midnite / All I Want,alternative
a465,Adele,Hello,jazz
a466,Adele,When We Were Young,jazz
a467,Van Morrison,Why Must I Always Explain?,jazz
a468,Van Morrison-John Lee Hooker,Gloria,jazz
a469,The Chieftains-Van Morrison,Have I Told You Lately That I Love You?,jazz
a470,Van Morrison,Days Like This,jazz
a471,Van Morrison,No Religion,jazz
a472,Van Morrison,Perfect Fit,jazz
a478,A'mari,Femme Fatale,jazz
a479,A'mari,Magic Touch,jazz
a480,A'mari,Orgasme,jazz
a481,A'mari,Set My Heart Free,jazz
a482,A'mari,Superstar (Maktub),jazz
a483,A'mari,Sex You (Aphrodisiac),jazz
a484,Phil Collins,It’s in Your Eyes,jazz
a485,Phil Collins,No Matter Who,jazz
a486,Phil Collins,Wear My Hat,jazz
a487,Phil Collins,True Colors,jazz
a488,Phil Collins,Tarzan,jazz
a489,Phil Collins,In the Air Tonite,jazz
a491,Mitski,Your Best American Girl,folk
a492,Mississippi John Hurt,Frankie / Nobody's Dirty Business,folk
a493,Mindy Smith-Matthew Perryman Jones,Anymore of This,folk
a497,Michelle Shocked,(Don't You Mess Around With) My Little Sister,folk
a498,Gabriel Rios-Michael Franti-Flip Kowlier,What's This?,folk
a500,Metsatöll,Veelind,folk
a504,Chet Atkins-Mark Knopfler,Poor Boy Blues,folk
a505,Mark Knopfler,Going Home: Theme from Local Hero,folk
a506,Mark Knopfler,Darling Pretty,folk
a507,Mark Knopfler,Cannibals,folk
a508,Marissa Nadler,Blood and Tears,folk
a522,Tori Amos,Spark,jazz
a523,Tori Amos,Raspberry Swirl,jazz
a524,Tori Amos,Jackie's Strength,jazz
a525,Tori Amos,Cruel / Raspberry Swirl,jazz
a526,Tori Amos,Bliss,jazz
a527,Van Morrison,Rough God Goes Riding,jazz
a528,Van Morrison,The Healing Game,jazz
a529,Van Morrison,Precious Time,jazz
a532,A'mari,Touch,jazz
a533,A'mari,Juicy Ain’t It,jazz
a534,A'mari,Sin City,jazz
a535,A'mari,No Ordinary Girl,jazz
a536,Phil Collins,Can't Stop Loving You,jazz
a537,Phil Collins,The Least You Can Do,jazz
a538,Phil Collins,Wake Up Call,jazz
a545,Ryan Hemsworth-Keaton Henson-Mitski,Wait,folk
a546,Michelle Shocked,On the Greener Side,folk
a547,Michelle Shocked,Come a Long Way,folk
a548,Norah Jones,Don’t Know Why,folk
a549,Andrew Bird-Nora O'Connor-Robbie Fulks,I'll Trade You Money For Wine / Core And Rind,folk
a550,Noah and the Whale,Shape of My Heart,folk
a551,Noah and the Whale,5 Years Time,folk
a552,Noah and the Whale,L.I.F.E.G.O.E.S.O.N.,folk
a555,Nelly Furtado,Turn Off the Light,folk
a556,Whiskeytown-Neko Case-The Sadies,Car Songs,folk
a558,Nara Leão,Carcará / Corisco,folk
a559,Metsatöll,Kivine maa,folk
a560,Metsatöll,Lööme mesti,folk
a566,Mark Knopfler,What It Is,folk
a567,Mark Knopfler,Sailing to Philadelphia,folk
a568,Mark Knopfler,Silvertown Blues,folk
a569,Mark Knopfler,Why Aye Man,folk
a571,Mark Knopfler,Punish the Monkey,folk
a579,Tori Amos,1000 Oceans,jazz
a580,Tori Amos,Glory of the 80's,jazz
a581,Tori Amos,Concertina,jazz
a582,Tori Amos,Strange Little Girl,jazz
a583,Tori Amos,A Sorta Fairytale,jazz
a592,Norah Jones,Come Away With Me,folk
a593,Norah Jones,Turn Me On,folk
a594,Norah Jones,Don't Know Why / I'll Be Your Baby Tonight,folk
a595,Norah Jones,Sunrise,folk
a596,Norah Jones,Thinking About You,folk
a597,Norah Jones,Stuck,folk
a598,Nelly Furtado,I'm Like a Bird,folk
a599,Nelly Furtado,…On the Radio (Remember the Days),folk
a601,Nelly Furtado,Powerless (Say What You Want),folk
a602,Nelly Furtado,Try,folk
a603,Nelly Furtado,Força,folk
a604,Nelly Furtado,Explode,folk
a605,Nick Cave-Neko Case,She's Not There,folk
a606,Neko Case,Man (Edit),folk
a607,Mark Knopfler,Darling Pretty,folk
a615,Tori Amos,Don't Make Me Come to Vegas,jazz
a616,Tori Amos,Mary,jazz
a617,Tori Amos,Flavor (Peter Rauhofer Mixes),jazz
a619,Ry Cooder,634 - 5789,folk
a625,Roy Harper,Death or Glory?,folk
a626,Rosie Thomas-Sufjan Stevens,Hit & Run Vol. 1,folk
a630,Rodney Crowell,I Walk the Line (Revisited),folk
a632,Robyn Hitchcock,America,folk
a633,Edward II & The Red Hot Polkas,Rose of England / Dawn Run,folk
a634,Leon Rosselson-Billy Bragg,Ballad of a Spycatcher,folk
a637,Oysterband,New York Girls,folk
a639,Norah Jones,Happy Pills,folk
a640,Norah Jones,It Came Upon a Midnight Clear,folk
a641,Nelly Furtado,The Grass Is Green,folk
a642,Nelly Furtado-Timbaland,Promiscuous,folk
a643,Nelly Furtado,Maneater,folk
a644,Nelly Furtado,All Good Things (Come to an End),folk
a645,Nelly Furtado,Say It Right,folk
a646,Timbaland-Nelly Furtado-Justin Timberlake,Give It to Me,folk
a649,Humming House-Jill Andrews-Sam Bush,Maybe I'm Amazed,folk
a650,San Fermin-Sam Amidon,Shiver,folk
a664,Simon Campbell-Suzy Starlite,Happiness in Halos,folk
a665,Simon & Garfunkel,The Sound of Silence,folk
a668,Sheryl Crow,All I Wanna Do,folk
a669,Shawn Mullins,Lullaby,folk
a670,Shawn Mullins,What Is Life,folk
a671,Serj Tankian,Empty Walls,folk
a680,Robyn Hitchcock,Nightride to Trinidad,folk
a681,Robyn Hitchcock,Halo Mary,folk
a682,Robyn Hitchcock,To Be Human,folk
a683,Robyn Hitchcock,There Goes the Ice,folk
a684,Robyn Hitchcock-Emma Swift,Robyn Hitchcock & Emma Swift,folk
a685,Oysterband,Granite Years,folk
a686,Oysterband,Cry Cry,folk
a687,Oysterband,20th of April,folk
a688,Oysterband,Long Dark Street,folk
a689,Nelly Furtado,In God's Hands,folk
a690,Nelly Furtado,Do It,folk
a691,Nelly Furtado,Do It / Say It Right,folk
a692,Zero assoluto-Nelly Furtado,Win or Lose (Appena prima di partire),folk
a693,James Morrison-Nelly Furtado,Broken Strings,folk
a694,Nelly Furtado,Manos al aire,folk
a695,Flo Rida-Nelly Furtado,Jump,folk
a698,The Band of Holy Joy,Real Beauty Passed Through,folk
a700,The Band of Holy Joy,Wyrd Beautiful Thyme,folk
a702,The Astronauts,Typically English Day,folk
a704,The Albion Band,Wings,folk
a708,Taj Mahal,Don't Call Us,folk
a709,Syd Barrett,Octopus / Golden Hair,folk
a712,Simon Campbell-Suzy Starlite,Happiness in Halos,folk
a713,Suzy Bogguss,Drive South,folk
a714,Suzy Bogguss,Hey Cinderella,folk
a724,Simon & Garfunkel,Fakin' It,folk
a725,Simon & Garfunkel,Mrs. Robinson,folk
