ID, Artist, Song, Genre
383,The Mekons,Where Were You? / I’ll Have to Dance Then (On My Own),alternative
384,The Mekons,Work All Week / Unknown Wrecks,alternative
385,The Mekons,Snow,alternative
386,The Mekons,Teeth,alternative
387,The Mekons,This Sporting Life,alternative
388,The Mekons-Gdansk,Guardian / A Word,alternative
389,The Mekons,Hole in the Ground,alternative
392,Adele,Chasing Pavements,jazz
393,Adele,Cold Shoulder,jazz
394,Adele,Make You Feel My Love,jazz
395,Daniel Merriweather-Adele,Water and a Flame,jazz
396,Adele,Rolling in the Deep,jazz
397,Adele,Someone Like You,jazz
398,Adele,Set Fire to the Rain,jazz
399,Van Morrison,Have I Told You Lately,jazz
400,Van Morrison-Cliff Richard,Whenever God Shines His Light,jazz
401,Van Morrison,In the Days Before Rock 'n' Roll,jazz
402,Van Morrison,Real Real Gone,jazz
403,Van Morrison,I Can't Stop Loving You,jazz
404,Roberta Flack,Don't Make Me Wait Too Long,jazz
405,Roberta Flack,Killing Me Softly With His Song,jazz
406,Earth, Wind & Fire,September,jazz
407,Earth, Wind & Fire,After the Love Has Gone,jazz
408,Earth, Wind & Fire-The Emotions,Boogie Wonderland,jazz
409,Earth, Wind & Fire,Star,jazz
410,Earth, Wind & Fire,Let's Groove,jazz
411,Earth, Wind & Fire,Boogie Wonderland,jazz
420,A'mari,Amor Fabula,jazz
421,A'mari,Evanescence (Goddess),jazz
425,David Crosby-Phil Collins,Hero,jazz
426,Phil Collins,Both Sides of the Story,jazz
427,Phil Collins,Everyday,jazz
428,Phil Collins,Everyday,jazz
429,Phil Collins,We Wait and We Wonder,jazz
430,Phil Collins,Dance Into the Light,jazz
431,Mark Knopfler,Storybook Love (Theme From The Princess Bride),folk
432,Glen Hansard-Mark Geary,Christmas Biscuits (In Aid of St. Vincent De Paul),folk
433,Marissa Nadler,Diamond Heart / Leather Made Shoes,folk
434,Marissa Nadler-Father John Misty,Hollywood Forever Cemetery Sings / Drive,folk
437,Malcolm Middleton,Loneliness Shines / No Modest Bear,folk
438,Malcolm Middleton,Beep Beep, I Love You,folk
442,Ladysmith Black Mambazo,Ain't No Sunshine,folk
443,B*Witched-Ladysmith Black Mambazo,I Shall Be There,folk
450,Kris Kristofferson,Here Comes That Rainbow Again,folk
458,Tori Amos,Talula,jazz
459,Tori Amos,Hey Jupiter / Professional Widow,jazz
460,Tori Amos,Professional Widow,jazz
461,BT-Tori Amos,Blue Skies,jazz
462,Tori Amos,Silent All These Years,jazz
463,The Mekons-The Ex,Crap Rap / Keep On Hoppin',alternative
464,The Mekons,Wicked Midnite / All I Want,alternative
465,Adele,Hello,jazz
466,Adele,When We Were Young,jazz
467,Van Morrison,Why Must I Always Explain?,jazz
468,Van Morrison-John Lee Hooker,Gloria,jazz
469,The Chieftains-Van Morrison,Have I Told You Lately That I Love You?,jazz
470,Van Morrison,Days Like This,jazz
471,Van Morrison,No Religion,jazz
472,Van Morrison,Perfect Fit,jazz
473,Earth, Wind & Fire,Let's Groove,jazz
474,Earth, Wind & Fire,Sunday Morning,jazz
475,Earth, Wind & Fire,September '99 (Phats & Small Remix),jazz
476,Earth, Wind & Fire,September '99,jazz
477,Earth, Wind & Fire-Tiefschwarz,Boogie Wonderland 2K,jazz
478,A'mari,Femme Fatale,jazz
479,A'mari,Magic Touch,jazz
480,A'mari,Orgasme,jazz
481,A'mari,Set My Heart Free,jazz
482,A'mari,Superstar (Maktub),jazz
483,A'mari,Sex You (Aphrodisiac),jazz
484,Phil Collins,It’s in Your Eyes,jazz
485,Phil Collins,No Matter Who,jazz
486,Phil Collins,Wear My Hat,jazz
487,Phil Collins,True Colors,jazz
